battle,battleLabel,year,location,locationLabel,locationCoordinates,country,countryLabel
http://www.wikidata.org/entity/Q2888562,Battle of Fort Wayne,1790,http://www.wikidata.org/entity/Q282052,Maumee River,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q2897258,Battle of Măcin,1791,http://www.wikidata.org/entity/Q851001,Măcin,,http://www.wikidata.org/entity/Q218,Romania
http://www.wikidata.org/entity/Q4871411,Battle of Kenapacomaqua,1791,http://www.wikidata.org/entity/Q505276,Cass County,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q648223,Battle of Cape Kaliakra,1791,http://www.wikidata.org/entity/Q1648563,Kaliakra,Point(28.5974 43.3741),http://www.wikidata.org/entity/Q219,Bulgaria
http://www.wikidata.org/entity/Q962450,St. Clair's Defeat,1791,http://www.wikidata.org/entity/Q1861739,Fort Recovery,Point(-84.7628 40.3571),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q2890512,Battle of Croix-des-Bouquets,1792,http://www.wikidata.org/entity/Q2076213,Croix-des-Bouquets,Point(-72.2333 18.5833),http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q3045026,Battle of Marquain,1792,http://www.wikidata.org/entity/Q2784732,Marquain,Point(3.317 50.6),http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q4871742,Battle of Mir,1792,http://www.wikidata.org/entity/Q922668,Mir,Point(26.4667 53.45),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q5289222,Battle of Boruszkowce,1792,http://www.wikidata.org/entity/Q4094818,Borushkivtsi,Point(27.6311 49.9725),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q2628049,Battle of Zieleńce,1792,http://www.wikidata.org/entity/Q171331,Khmelnytskyi Oblast,Point(26.87 49.53),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q2888467,Battle of Dubienka,1792,http://www.wikidata.org/entity/Q37333,Lublin,Point(23.8662 51.0778),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q9173129,Q9173129,1792,http://www.wikidata.org/entity/Q1527455,Krzemień-Wieś,Point(22.4869 52.5414),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q140439,Q140439,1792,http://www.wikidata.org/entity/Q2380331,Markuszów,Point(22.2569 51.3753),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q572883,Battle of Verdun,1792,http://www.wikidata.org/entity/Q154748,Verdun,Point(5.3884 49.1608),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4411,Battle of Valmy,1792,http://www.wikidata.org/entity/Q213307,Sainte-Menehould,Point(4.765555555 49.079444444),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q855271,Battle of Jemappes,1792,http://www.wikidata.org/entity/Q83407,Mons,Point(3.8886 50.4559),http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q18380015,Battle of Limburg,1792,http://www.wikidata.org/entity/Q16026,Limburg an der Lahn,Point(8.0667 50.3834),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q2887849,Q2887849,1792,http://www.wikidata.org/entity/Q9005,Brussels metropolitan area,Point(4.3 50.8333),http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q2889266,Q2889266,1793,http://www.wikidata.org/entity/Q687275,Marmelade,Point(-72.35 19.517),http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q2889398,Q2889398,1793,http://www.wikidata.org/entity/Q2151487,Quartier-Morin,Point(-72.15 19.7),http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q17984374,Battle of Aldenhoven,1793,http://www.wikidata.org/entity/Q199968,Aldenhoven,Point(6.2831 50.8958),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q2888843,Q2888843,1793,http://www.wikidata.org/entity/Q1388597,Jallais,Point(-0.8675 47.197777777),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1085392,Battle of Neerwinden (1793),1793,http://www.wikidata.org/entity/Q991231,Neerwinden,Point(5.05 50.7667),http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q2889640,Q2889640,1793,http://www.wikidata.org/entity/Q1068905,Chantonnay,Point(-1.0 46.65),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888900,Q2888900,1793,http://www.wikidata.org/entity/Q456831,Plougoulm,Point(-4.0733 48.6218),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888302,Q2888302,1793,http://www.wikidata.org/entity/Q624927,Chemillé,Point(-0.725833333 47.213055555),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890641,Q2890641,1793,http://www.wikidata.org/entity/Q779573,Nueil-les-Aubiers,Point(-0.588611111 46.938055555),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888290,Q2888290,1793,http://www.wikidata.org/entity/Q7148,Challans,Point(-1.878055555 46.846666666),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889869,Q2889869,1793,http://www.wikidata.org/entity/Q900294,Saint-Gervais,Point(-1.997222222 46.9025),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890313,Q2890313,1793,http://www.wikidata.org/entity/Q1422393,Vezins,Point(-0.710277777 47.120833333),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q8244157,Q8244157,1793,http://www.wikidata.org/entity/Q6643,Céret,Point(2.75027778 42.48916667),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889180,Q2889180,1793,http://www.wikidata.org/entity/Q631181,Machecoul,Point(-1.821666666 46.993888888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888127,Q2888127,1793,http://www.wikidata.org/entity/Q752918,Beaupréau,Point(-0.993333333 47.202777777),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888118,Q2888118,1793,http://www.wikidata.org/entity/Q1069114,Beaulieu-sous-la-Roche,Point(-1.608888888 46.677777777),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889123,Q2889123,1793,http://www.wikidata.org/entity/Q940769,Legé,Point(-1.5975 46.886388888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890178,Battle of Thouars,1793,http://www.wikidata.org/entity/Q279681,Thouars,Point(-0.2142 46.9758),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889021,Q2889021,1793,http://www.wikidata.org/entity/Q741386,La Châtaigneraie,Point(-0.7392 46.65),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889574,Q2889574,1793,http://www.wikidata.org/entity/Q1413624,Palluau,Point(-1.618333333 46.805833333),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889289,Battle of Mas Deu,1793,http://www.wikidata.org/entity/Q199789,Trouillas,Point(2.80917 42.6125),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q942257,Battle of Famars,1793,http://www.wikidata.org/entity/Q665618,Famars,Point(3.52 50.3161),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1114300,Battle of Fontenay-le-Comte,1793,http://www.wikidata.org/entity/Q213497,Fontenay-le-Comte,Point(-0.806111111 46.466111111),http://www.wikidata.org/entity/Q142,France
